percentile,50.wrk
1.00,10.167
1.11,12.495
1.25,12.999
1.43,13.431
1.67,13.887
2.00,14.311
2.22,14.711
2.50,15.007
2.86,15.335
3.33,15.743
4.00,16.319
4.44,16.719
5.00,17.039
5.71,17.391
6.67,17.903
8.00,18.399
8.89,18.623
10.00,18.895
11.43,19.183
13.33,19.871
16.00,20.399
17.78,20.975
20.00,21.295
22.86,21.599
26.67,22.143
32.00,22.559
35.56,23.215
40.00,23.455
45.71,23.903
53.33,24.671
64.00,25.375
71.11,25.871
80.00,26.687
91.43,27.071
106.67,28.367
128.00,29.439
142.22,29.439
160.00,29.727
182.86,31.055
213.33,32.143
256.00,32.863
284.44,32.863
320.00,32.863
365.71,33.983
426.67,33.983
512.00,34.463
568.89,34.463
640.00,34.463
731.43,34.463
853.33,34.463
1024.00,35.999
inf,35.999
