percentile,25.wrk
1.00,11.383
1.11,13.015
1.25,13.503
1.43,13.927
1.67,14.407
2.00,14.975
2.22,15.311
2.50,15.583
2.86,15.951
3.33,16.335
4.00,16.863
4.44,17.311
5.00,17.775
5.71,18.239
6.67,18.831
8.00,19.455
8.89,19.679
10.00,19.919
11.43,20.319
13.33,20.943
16.00,21.583
17.78,21.983
20.00,22.559
22.86,23.183
26.67,24.255
32.00,24.863
35.56,25.007
40.00,25.391
45.71,25.631
53.33,26.015
64.00,27.391
71.11,27.391
80.00,27.743
91.43,29.951
106.67,30.415
128.00,30.607
142.22,30.607
160.00,30.607
182.86,39.071
213.33,39.071
256.00,41.151
284.44,41.151
320.00,41.151
365.71,41.151
426.67,41.151
512.00,49.343
inf,49.343
