percentile,400.wrk
0.000000,10.471
0.100000,12.791
0.200000,13.479
0.300000,14.087
0.400000,14.703
0.500000,15.343
0.550000,15.759
0.600000,16.175
0.650000,16.607
0.700000,17.103
0.750000,17.695
0.775000,18.015
0.800000,18.415
0.825000,18.911
0.850000,19.487
0.875000,20.239
0.887500,20.719
0.900000,21.215
0.912500,21.775
0.925000,22.383
0.937500,23.391
0.943750,23.935
0.950000,24.687
0.956250,25.359
0.962500,26.239
0.968750,27.503
0.971875,28.095
0.975000,28.799
0.978125,29.679
0.981250,31.919
0.984375,35.039
0.985938,35.487
0.987500,35.999
0.989062,38.719
0.990625,40.191
0.992188,40.895
0.992969,41.119
0.993750,41.727
0.994531,42.975
0.995313,46.079
0.996094,46.591
0.996484,46.783
0.996875,47.071
0.997266,47.167
0.997656,47.615
0.998047,48.127
0.998242,48.191
0.998437,48.319
0.998633,48.319
0.998828,48.607
0.999023,49.247
0.999121,49.727
0.999219,52.383
0.999316,52.383
0.999414,55.455
0.999512,64.703
0.999561,64.703
0.999609,78.143
0.999658,78.143
0.999707,78.143
0.999756,78.335
0.999780,78.335
0.999805,78.335
0.999829,78.335
0.999854,78.335
0.999878,91.775
1.000000,91.775
