percentile,100.wrk
1.00,10.335
1.11,12.383
1.25,13.055
1.43,13.559
1.67,13.999
2.00,14.479
2.22,14.751
2.50,14.991
2.86,15.303
3.33,15.727
4.00,16.215
4.44,16.495
5.00,16.847
5.71,17.327
6.67,17.759
8.00,18.111
8.89,18.399
10.00,18.847
11.43,19.151
13.33,19.583
16.00,20.191
17.78,20.527
20.00,20.943
22.86,21.247
26.67,22.095
32.00,22.751
35.56,23.359
40.00,23.919
45.71,24.367
53.33,24.847
64.00,25.455
71.11,25.711
80.00,25.967
91.43,26.223
106.67,27.119
128.00,28.351
142.22,28.639
160.00,28.831
182.86,29.119
213.33,29.423
256.00,30.335
284.44,30.335
320.00,32.239
365.71,32.415
426.67,32.591
512.00,32.895
568.89,32.895
640.00,32.895
731.43,32.991
853.33,32.991
1024.00,38.847
1137.78,38.847
1280.00,38.847
1462.86,38.847
1706.67,38.847
2048.00,41.599
inf,41.599
