percentile,200.wrk
1.00,10.359
1.11,12.783
1.25,13.383
1.43,13.951
1.67,14.535
2.00,15.167
2.22,15.511
2.50,15.951
2.86,16.463
3.33,17.039
4.00,17.791
4.44,18.159
5.00,18.447
5.71,18.783
6.67,19.231
8.00,19.679
8.89,19.951
10.00,20.271
11.43,20.623
13.33,21.039
16.00,21.583
17.78,21.871
20.00,22.287
22.86,22.687
26.67,23.151
32.00,23.823
35.56,24.255
40.00,24.591
45.71,25.343
53.33,25.919
64.00,26.943
71.11,27.583
80.00,27.791
91.43,28.847
106.67,30.159
128.00,31.471
142.22,31.663
160.00,32.335
182.86,32.607
213.33,33.247
256.00,34.303
284.44,34.751
320.00,35.903
365.71,35.999
426.67,37.183
512.00,38.815
568.89,39.551
640.00,40.543
731.43,40.543
853.33,41.663
1024.00,42.015
1137.78,42.015
1280.00,42.591
1462.86,42.591
1706.67,42.591
2048.00,42.911
2275.56,42.911
2560.00,42.911
2925.71,42.911
3413.33,42.911
4096.00,43.839
inf,43.839
