percentile,10.wrk
1.00,12.023
1.11,13.735
1.25,14.431
1.43,14.911
1.67,15.599
2.00,16.255
2.22,16.639
2.50,16.959
2.86,17.119
3.33,17.663
4.00,18.063
4.44,18.399
5.00,18.655
5.71,19.199
6.67,19.535
8.00,20.063
8.89,20.767
10.00,20.783
11.43,20.911
13.33,21.071
16.00,21.775
17.78,21.871
20.00,22.335
22.86,23.279
26.67,23.471
32.00,24.079
35.56,25.343
40.00,25.343
45.71,26.591
53.33,26.991
64.00,26.991
71.11,35.295
80.00,35.295
91.43,35.295
106.67,35.327
128.00,35.327
142.22,35.327
160.00,35.327
182.86,35.327
213.33,35.551
inf,35.551
