percentile,300.wrk
1.00,10.463
1.11,12.719
1.25,13.327
1.43,13.839
1.67,14.351
2.00,14.823
2.22,15.103
2.50,15.423
2.86,15.759
3.33,16.151
4.00,16.623
4.44,16.895
5.00,17.231
5.71,17.583
6.67,18.079
8.00,18.815
8.89,19.151
10.00,19.471
11.43,19.871
13.33,20.303
16.00,20.767
17.78,21.199
20.00,21.647
22.86,22.031
26.67,22.575
32.00,23.247
35.56,23.791
40.00,24.303
45.71,24.735
53.33,25.503
64.00,26.047
71.11,26.335
80.00,26.831
91.43,27.471
106.67,28.127
128.00,28.607
142.22,28.991
160.00,29.487
182.86,30.047
213.33,30.303
256.00,32.047
284.44,32.559
320.00,32.927
365.71,33.631
426.67,35.455
512.00,37.151
568.89,38.463
640.00,40.511
731.43,44.639
853.33,46.527
1024.00,46.879
1137.78,46.879
1280.00,48.735
1462.86,48.735
1706.67,50.847
2048.00,55.231
2275.56,55.231
2560.00,55.231
2925.71,55.231
3413.33,70.079
4096.00,70.079
4551.11,70.079
5120.00,70.079
5851.43,70.079
6826.67,96.575
inf,96.575
